Agency,Contract Number,Caption,Award Amount,Base Contract Period,Multi Year,Option Yrs.Remaining,Market Type,NFP,LSDBE,Vendor Name
Office of Contracting & Procurement,DCSS-2006-D-961-28S,"Marketing, Media and Public Information",900000,9/18/2010 -                    9/17/2011,No,4,DCSS,No,Local                                     Small,"Harrison Maldonado Associates, Inc."
Office of Contracting & Procurement,DCSS-2009-D-96130-35-S,Temporary Support Services,10000000,9/18/2010 -                    9/17/2011,No,1,DCSS,No,Local                                     Disadvantaged,All U Need Personnel Inc
Office of Contracting & Procurement,DCSS-2006-D-925-21-S,Engineering and Logistics Services,900000,9/20/2010 -                    9/19/2011,No,4,DCSS,No,Local                                     Small                                     Disadvantaged,J-DOS International Inc
Office of Contracting & Procurement,DCSS-2008-D-961-42S,"Marketing, Media and Public Information Services",900000,9/24/2010 -                    9/23/2011,No,2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,The Walker Marchant Group
Office of Contracting & Procurement,DCSS-2009-D-485-22S,Industrial Supplies and Apparel,900000,9/30/2010 -                    9/29/2011,No,1,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,The Hamilton Group
Office of Contracting & Procurement,DCSS-2009-D-924-39S,Training Services,500000,9/30/2010 -                    9/29/2011,No,1,DCSS,No,Local                                     Small,"Winbourne & Costas, Inc"
Office of Contracting & Procurement,DCSS-2006-D-962-16S,Moving and Logistics Services,500000,10/11/2010 -                    10/10/2011,No,4,DCSS,No,Local                                     Small                                     Resident,"MDT Rush Delivery, LLC"
Office of Contracting & Procurement,DCSS-2010-D-485-23-S,Industrial Supplies and Apparel,900000,10/20/2010 -                    10/19/2011,No,1,DCSS,No,Local                                     Small                                     Disadvantaged,District Office & Computer Supplies Company
Office of Contracting & Procurement,DCSS-2011-D-475-24S,Medical Equipment and Supplies,500000,10/25/2010 -                    10/24/2011,No,Base,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Total Healthcare Solutions
Office of Contracting & Procurement,DCSS-2009-D-966-16-S,Printing and Document Management,750000,10/28/2010 -                    10/27/2011,No,1,DCSS,No,Local                                     Small                                     Enterprise Zone,Toucan Printing and Promotional Products Inc
Office of Contracting & Procurement,DCSS-2008-D-96130-32S,Temporary Support Services,10000000,10/28/2010 -                    10/27/2011,No,1,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,"Walton & Green Consultants, LLP"
Office of Contracting & Procurement,DCSS-2010-D-475-20S,Medical Equipment and Supplies,500000,11/9/2010 -                    11/8/2011,No,1,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,District Office & Computer Supplies Company
Office of Contracting & Procurement,DCSS-2011-D-961-53S,"Marketing, Media & Public Information Services",900000,11/10/2010 -                    11/9/2011,No,Base,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,Alston Marketing Group LLC
Office of Contracting & Procurement,DCSS-2009-D-475-18-S,Medical Equipment and Supplies,500000,11/26/2010 -                    11/25/2011,No,2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Bocalje Services Inc
Office of Contracting & Procurement,DCSS-2009-D-475-15S,Medical Equipment and Supplies,500000,11/26/2010 -                    11/25/2011,No,2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,"Medical Supply System, Inc."
Office of Contracting & Procurement,DCSS-2006-D-918-78S,Mission Oriented Business Integrated Services (MOBIS),10000000,11/29/2010 -                    11/28/2011,No,4,DCSS,No,Local                                     Disadvantaged                                     Enterprise Zone,"Business Promotion Consultants, Inc."
Office of Contracting & Procurement,DCSS-2008-D-475-08-S,Medical Equipment and Supplies,500000,12/20/2010 -                    12/19/2011,No,3,DCSS,No,Local                                     Small,JJPS  Inc
Office of Contracting & Procurement,DCSS-2009-D-925-26-S,Engineering and Logistics Services,900000,2/9/2011 -                    2/8/2012,No,2,DCSS,No,Local                                     Small                                     Disadvantaged,McKissack & McKissack of Washington Inc
Office of Contracting & Procurement,DCSS-2009-D-962-23-S,Moving and Logistics Services,500000,2/9/2011 -                    2/8/2012,No,2,DCSS,Yes,Local                                     Small                                     Disadvantaged,Capital Services & Supplies Inc
Office of Contracting & Procurement,DCSS-2008-D-96130-27-S,Temporary Support Services,900000,2/13/2011 -                    7/12/2011,No,4,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,MB Staffing Services LLC
Office of Contracting & Procurement,DCSS-2009-D-475-17-S,Medical Equipment and Supplies,500000,2/19/2011 -                    2/18/2012,No,2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,MTW Distributors Inc
Office of Contracting & Procurement,DCSS-2010-D-962-19S,Moving and Logistics Services,500000,2/22/2011 -                    2/21/2012,No,4,DCSS,No,Local                                     Small                                     Disadvantaged,S & H Trucking Company
Office of Contracting & Procurement,DCSS-2009-D-961-43-S,Marketing & Media & Public Information Services,900000,2/27/2011 -                    2/26/2012,No,1,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,Neal R. Gross & Company Inc
Office of Contracting & Procurement,DCSS-2010-D-99029-35-S,"Security Equipment, Security Services and Emergency Preparedness",850000,3/1/2011 -                    2/28/2012,No,1,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,Emergency 911 Security Inc
Office of Contracting & Procurement,DCSS-2010-D-475-21-S,Medical Equipment and Supplies,500000,3/4/2011 -                    3/3/2012,No,1,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,"Emergency 911 Security, Inc."
Office of Contracting & Procurement,DCSS-2011-D-918-152S,Mission Oriented Business Integrated Services (MOBIS),900000,3/4/2011 -                    3/3/2012,No,Base,DCSS,No,Local                                     Disadvantaged                                     Enterprise Zone,"Leftwich & Ludaway, LLC"
Office of Contracting & Procurement,DCSS-2008-D-961-27-S,"Marketing, Media and Public Information Services",900000,3/7/2011 -                    3/6/2012,No,3,DCSS,No,Local                                     Small,"The Ad Agency, Inc."
Office of Contracting & Procurement,DCSS-2008-D-961-27-S,"Marketing, Media and Public Information Services",900000,3/13/2011 -                    3/12/2012,No,3,DCSS,No,Local                                     Small                                     Disadvantaged,"Brentworks, Inc."
Office of Contracting & Procurement,DCSS-2007-D-96130-07S,Temporary Support Services,900000,3/15/2011 -                    3/14/2012,No,4,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Magnificus Corporation
Office of Contracting & Procurement,DCSS-2009-D-946-17-S,Audit and Financial Management Services,500000,3/19/2011 -                    3/18/2012,No,2,DCSS,No,Local                                     Enterprise Zone,Federal Management Systems Inc
Office of Contracting & Procurement,DCSS-2008-D-918-105S,Mission Oriented Business Integrated Services (MOBIS),900000,3/24/2011 -                    3/23/2011,No,3,DCSS,No,Small                                     Resident,"PRM Consulting, Inc."
Office of Contracting & Procurement,DCSS-2007-D-037-09-S,Temporary Support Services,900000,3/28/2011 -                    3/27/2012,No,4,DCSS,No,Local                                     Small                                     Resident,L/T Printing Company
Office of Contracting & Procurement,DCSS-2007-D-920-119-S,"Information Technology Services, Equipment & Software",900000,3/31/2011 -                    3/30/2012,No,4,DCSS,No,Local                                     Small                                     Resident                                     Enterprise Zone,Dynamic Concepts Inc
Office of Contracting & Procurement,DCSS-2007-D-475-10-S,Medical Supplies,500000,4/3/2011 -                    4/2/2012,No,4,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,"All N'1 Medical Supplies & Treasures, LLC"
Office of Contracting & Procurement,DCSS-2011-D-918-149S,Mission Oriented Business Integrated Services (MOBIS),900000,4/12/2011 -                    4/11/2012,No,Base,DCSS,No,Local                                     Disadvantaged                                     Enterprise Zone,"Motir Services, Inc."
Office of Contracting & Procurement,DCSS-2011-D-918-125S,Mission Oriented Business Integrated Services (MOBIS),900000,4/12/2011 -                    4/11/2012,No,Base,DCSS,No,Local                                     Disadvantaged                                     Enterprise Zone,All U Need Personnel
Office of Contracting & Procurement,DCSS-2011-D-918-145S,Mission Oriented Business Integrated Services (MOBIS),900000,4/12/2011 -                    4/11/2012,No,Base,DCSS,No,Local                                     Disadvantaged                                     Enterprise Zone,LC Systems
Office of Contracting & Procurement,DCSS-2011-D-918-141S,Mission Oriented Business Integrated Services (MOBIS),900000,4/22/2011 -                    4/21/2012,No,Base,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,"IIU Consulting, Inc."
Office of Contracting & Procurement,DCSS-2007-D-934-19S,Industrial Services,900000,4/23/2011 -                    4/22/2012,No,4,DCSS,No,Local                                     Small,RBK Landscaping & Construction Inc.
Office of Contracting & Procurement,DCSS-2007-D-96130-04S,Temporary Support Services,900000,4/23/2011 -                    4/22/2012,No,4,DCSS,No,Local                                     Small,Hardie Industries
Office of Contracting & Procurement,DCSS-2009-D-475-19-S,Medical Equipment and Supplies,500000,4/30/2011 -                    4/29/2012,No,2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,Premier Suppliers
Office of Contracting & Procurement,DCSS-2007-D-918-84S,Mission Oriented Business Integrated Services (MOBIS),900000,4/30/2011 -                    4/29/2012,No,4,DCSS,No,Local                                     Disadvantaged                                     Resident,"MVS, Inc."
Office of Contracting & Procurement,DCSS-2010-D-96130-31S,Temporary Support Services,900000,5/3/2011 -                    5/2/2012,No,1,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,"Ross Professional Services, LLC"
Office of Contracting & Procurement,DCSS-2009-D-485-17-S,Industrial Supplies and Apparel,900000,5/4/2011 -                    5/3/2012,No,2,DCSS,No,Local                                     Small,I S Enterprises Inc
Office of Contracting & Procurement,DCSS-2007-D-920-110S,Information Technology Equipment and Software,900000,5/9/2011 -                    5/8/2012,No,4,DCSS,No,Local                                     Disadvantaged                                     Resident,"MVS, Inc."
Office of Contracting & Procurement,DCSS-2009-D-961-41S,"Marketing, Media & Public Information Services",900000,5/14/2011 -                    5/13/2012,No,2,DCSS,No,Local                                     Small                                     Disadvantaged,The Ad Store
Office of Contracting & Procurement,DCSS-2009-D-037-20-S,"Advertising, Novelties, Souvenirs, Promotional & Specialty Products",400000,5/20/2011 -                    5/19/2012,No,2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,The Hamilton Group
Office of Contracting & Procurement,DCSS-2010-D-918-116S,Mission Oriented Business Integrated Services (MOBIS),900000,5/26/2011 -                    5/25/2012,No,1,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,"Tecknomic, LLC"
Office of Contracting & Procurement,DCSS-2009-D-961-50-S,Marketing & Media & Public Information Services,900000,5/28/2011 -                    5/27/2012,No,2,DCSS,Yes,Local                                     Small,"Reingold, Inc."
Office of Contracting & Procurement,DCSS-2007-D-924-26S,Training Services,500000,5/29/2011 -                    5/28/2012,No,4,DCSS,Yes,Local                                     Small                                     Disadvantaged                                     Resident,"Training Resources Associates, Inc."
Office of Contracting & Procurement,DCSS-2009-D-966-18-S,Printing and Document Management Services,750000,6/9/2011 -                    6/8/2012,No,2,DCSS,No,Local                                     Small                                     Disadvantaged,Brentworks Inc
Office of Contracting & Procurement,DCSS-2007-D-925-34-S,Engineering and Logistics Services,900000,6/10/2011 -                    6/9/2012,No,1,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,"Motir Services, Inc."
Office of Contracting & Procurement,DCSS-2007-D-925-23-S,Engineering and Logistics Services,900000,6/13/2011 -                    6/12/2012,No,3,DCSS,No,Local                                     Small                                     Enterprise Zone,"Environmental Design & Construction, LLC"
Office of Contracting & Procurement,DCSS-2011-D-925-36S,Engineering & Logistics Services,900000,6/20/2011 -                    6/19/2012,No,base,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Micon Construction Inc.
Office of Contracting & Procurement,DCSS-2011-D-925-39S,Engineering and Logistics Services,900000,6/24/2011 -                    6/23/2012,No,Base,DCSS,No,Local,"Delon Hampton & Associates, Chartered"
Office of Contracting & Procurement,DCSS-2011-D-96130-41S,Temporary Support Services,900000,6/24/2011 -                    6/23/2012,No,base,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,"Motir Services, Inc."
Office of Contracting & Procurement,DCSS-2011-D-037-30S,"Advertising, Novelties, Souvenirs, Promotional & Specialty Products",400000,6/30/2011 -                    6/29/2012,No,base,DCSS,No,Local                                     Small,"J.R. Reingold & Associates, Inc. dba Reingold, Inc."
Office of Contracting & Procurement,DCSS-2011-D-961-71S,"Marketing, Media & Public Information Services",900000,7/6/2011 -                    7/5/2012,No,base,DCSS,No,Local                                     Small                                     Resident,"Sharp Level Consulting, LLC"
Office of Contracting & Procurement,DCSS-2011-D-485-29S,Industrial Supplies & Apparel,900000,7/8/2011 -                    7/7/2012,No,Base,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,"Total Healthcare Solutions, LLC"
Office of Contracting & Procurement,DCSS-2008-D-925-25S,Engineering and Logistics Services,900000,7/9/2011 -                    7/8/2012,No,3,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,"United General Contractors, Inc."
Office of Contracting & Procurement,DCSS-2009-D-924-37S,Training Services,500000,7/10/2011 -                    7/9/2012,No,2,DCSS,No,Local                                     Small                                     Enterprise Zone,PRM Consulting
Office of Contracting & Procurement,DCSS-2008-D-96130-27S,Temporary Support Services,900000,7/13/2011 -                    2/12/2012,No,artial Option  Complete Option Year 3,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,"Mb Staffing Services, LLC"
Office of Contracting & Procurement,DCSS-2008-D-961--39S,Marketing Media & Public Information Services,900000,7/15/2011 -                    7/14/2012,No,3,DCSS,No,Local                                     Enterprise Zone,"Group 360, LLC"
Office of Contracting & Procurement,DCSS-2009-D-946--16S,Audit and Financial Management Services,500000,7/16/2011 -                    7/15/2012,No,2,DCSS,No,Local                                     Small                                     Disadvantaged,"Regis & Associates, PC"
Office of Contracting & Procurement,DCSS-2008-D-037-14S,"Advertising, Novelties, Souvenirs, Promotional & Specialty Products",400000,7/17/2011 -                    7/16/2012,No,3,DCSS,No,Local                                     Small,"Gelberg Signs, Inc."
Office of Contracting & Procurement,DCSS-2011-D-961-81S,"Marketing, Media & Public Information Services",900000,7/21/2011 -                    7/20/2012,No,base,DCSS,No,Local                                     Small,"Harrison Maldonado Associates, Inc."
Office of Contracting & Procurement,DCSS-2011-D-966-30S,Printing and Document Management Services,750000,7/21/2011 -                    7/20/2012,No,Base,DCSS,No,Local                                     Small                                     Disadvantaged,"Dupont Computers, Inc."
Office of Contracting & Procurement,DCSS-2009-D-99029-33S,"Security Equipment, Security Services and Emergency Preparedness",850000,7/24/2011 -                    7/23/2012,No,2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,"MVS, Inc."
Office of Contracting & Procurement,DCSS-2008-D-96130-25S,Temporary Support Services,900000,8/8/2011 -                    2/7/2012,No,3,DCSS,No,Small                                     Resident,"National Associates, Inc."
Office of Contracting & Procurement,DCSS-2009-D-425-17S,Furniture & Furniture Management Services,900000,8/12/2011 -                    3/11/2012,No,2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,MDM Office Systems dba Standard Office Supply
Office of Contracting & Procurement,DCSS-2009-D-966-25-S,Printing and Document Management Services,750000,8/12/2011 -                    8/11/2012,No,2,DCSS,No,Local                                     Small                                     Disadvantaged,"The Aquiline Group, LLC"
Office of Contracting & Procurement,DCSS-2008-D-037-13S,"Advertising, Novelties, Souvenirs, Promotional & Specialty Products",400000,8/18/2011 -                    8/27/2012,No,3,DCSS,No,Local                                     Small                                     Disadvantaged,Toucan Printing & Promotional Products
Office of Contracting & Procurement,DCSS-2009-D-961-51S,Marketing Media & Public Information Services,900000,8/20/2011 -                    8/19/2012,No,2,DCSS,No,Local                                     Small                                     Disadvantaged,"The Aquiline Group, LLC"
Office of Contracting & Procurement,DCSS-2009-D-918-133S,Mission Oriented Business Integrated Services (MOBIS),900000,8/28/2011 -                    2/27/2012,No,2,DCSS,No,Local                                     Small,"J.R. Reingold & Associates, Inc. dba Reingold, Inc."
Office of Contracting & Procurement,DCSS-2007-D-96130-15S,Temporary Support Services,900000,8/29/2011 -                    3/28/2012,No,4,DCSS,No,Local,NRI Staffing Resources
Office of Contracting & Procurement,DCSS-2009-D-924-31S,Training Services,500000,9/3/2011 -                    9/2/2012,No,2,DCSS,No,Local                                     Small                                     Resident,"Wander Group, LLC"
Office of Contracting & Procurement,DCSS-2008-D-962-21S,Moving and Logistics Services,500000,9/17/2011 -                    9/16/2012,No,3,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,"Faith Management Consulting, Inc."
Office of Contracting & Procurement,DCSS-2011-D-961-42S,"Marketing, Media & Public Information Services",900000,9/24/2011 -                    9/23/2012,No,3,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,"The Walker Marchant Group, LLC"
Office of Contracting and Procurement,DCPO-2007-E-2110,Recycled Copier paper,6250000,1/11/2008 -                    1/10/2009,No,Base,Set Aside,No,Local                                     Small                                     Disadvantaged,American Supply Company
Office of Contracting and Procurement,DCPO-2007-E-2131,Jumpsuits and Coveralls,24450,3/28/2008 -                    3/27/2009,No,Base,Set Aside,No,Local                                     Small                                     Disadvantaged,"MTW Distributors, Inc"
Office of Contracting and Procurement,DCPO-2007-E-2111,Jumpsuits and Coveralls,633555,3/28/2008 -                    3/27/2009,No,Base,Set Aside,No,Local                                     Small                                     Disadvantaged,American Supply Company
Office of Contracting and Procurement,DCPO-2007-E-2121,Jumpsuits and Coveralls,116555,3/28/2008 -                    3/27/2009,No,Base,Set Aside,No,Local                                     Small                                     Disadvantaged,"Toucan Printing and Promotional Products, Inc"
Office of Contracting and Procurement,DCPO-2007-E-2113,Clothing and Linen,841620,4/1/2008 -                    3/28/2009,No,Base,Set Aside,No,Local                                     Small                                     Disadvantaged,American Supply Company
Office of Contracting and Procurement,DCPO-2007-E-2115,Officers Uniform,990000,9/4/2008 -                    9/3/2009,No,Base,Set Aside,No,Local                                     Small                                     Disadvantaged,"Morgans, Inc., T/A Jimmie Muscatellos"
Office of Contracting and Procurement,DCSS-2009-D-037-16S,"Advertising, Novelties, Promotional and Specialty Products",400000,10/8/2008 -                    10/7/2009,No,Base,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,"Life Infinite, LLC"
Office of Contracting and Procurement,DCSS-2009-D-962-24S,Moving and Logistics Services,500000,10/28/2008 -                    10/27/2009,No,Base,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,"Configuration, Inc"
Office of Contracting and Procurement,DCSS-2009-D-961-38S,Marketing & Media & Public Information Services,900000,3/13/2009 -                    3/12/2010,No,Base,DCSS,Yes,Local                                     Small                                     Resident,"Brentworks, Inc."
Office of Contracting and Procurement,DCSS-2009-D-615-39-S,"Office Supplies, General",5000000,8/6/2009 -                    8/5/2010,No,Base,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,Capital Services & Supplies Inc
OFFICE OF CONTRACTING AND PROCUREMENT,CW15857,DCSS-2010-D-962-30S - Moving and Logistics,500000,9/16/2010 -                    9/15/2012,No,Base Period,Set Aside,No,,"FES, LLC"
Office of Contracting and Procurement,DCSS-2011-D-485-28S,Industrial Supplies and Apparel,900000,10/26/2010 -                    10/25/2011,No,Base,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Ideal Electrical Supply
Office of Contracting and Procurement,DCSS-2009-D-962-24S,Moving and Logistics Services,500000,10/28/2010 -                    10/27/2011,No,2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,"Configuration, Inc"
OFFICE OF CONTRACTING AND PROCUREMENT,CW8984,BPA - Comcast Spotlight Advertising,100000,1/13/2011 -                    1/13/2012,No,Base Period,Open,No,,COMCAST SPOTLIGHT
OFFICE OF CONTRACTING AND PROCUREMENT,CW8987,BPA - WDCW Television Advertising,100000,1/13/2011 -                    1/2/2012,No,Base Period,Open,No,,"WDCW BROADCASTING, INC"
OFFICE OF CONTRACTING AND PROCUREMENT,CW8995,BPA-Mid Atlantic Sports Television (MASN),100000,1/13/2011 -                    1/12/2012,No,Base Period,Open,No,,TRC Sports Broadcasting Holdin
OFFICE OF CONTRACTING AND PROCUREMENT,CW8997,BPA -WTTG Fox 5 Television Advertising,100000,1/19/2011 -                    1/18/2012,No,Base Period,Open,No,,"FOX TELEVISION STATIONS, INC"
OFFICE OF CONTRACTING AND PROCUREMENT,CW8993,BPA - WTBD TV Advertising,100000,1/20/2011 -                    1/19/2012,No,Base Period,Open,No,,WJLA-TV
OFFICE OF CONTRACTING AND PROCUREMENT,CW8999,BPA WJLA ABC TV 7 Television Advertising Services,100000,1/20/2011 -                    1/19/2012,No,Base Period,Open,No,,WJLA-TV
Office of Contracting and Procurement,DCSS-2007-D-615-25S,Office  Supplies,900000,5/31/2011 -                    5/30/2011,No,Base,DCSS,No,Local                                     Disadvantaged,Branch Office Supply
Office of Contracting and Procurement,DCSS-2011-D-475-99S,Medical Supplies,500000,6/29/2011 -                    6/28/2012,No,Base,DCSS,No,Local                                     Disadvantaged                                     Enterprise Zone,American Supply Company
Office of Contracting and Procurement,DCSS-2011-D-485-98S,Industrial Supplies and Apparel,900000,6/30/2011 -                    6/29/2012,No,Base,DCSS,No,Local                                     Disadvantaged                                     Enterprise Zone,American Supply Company
Office of Contracting and Procurement,DCSS-2011-D-946-100S,Audit and Financial Services,500000,7/8/2011 -                    7/7/2012,No,Base,DCSS,No,Local                                     Disadvantaged,American Supply Company
OFFICE OF CONTRACTING AND PROCUREMENT,CW16202,DCSS-2009-D-966-19S  - Printing and Document Management Services,750000,7/20/2011 -                    7/19/2012,No,Base Period,Set Aside,No,,Dupont Computers
OFFICE OF CONTRACTING AND PROCUREMENT,CW16018,DCSS-2009-D-615-39S - Office Supplies,5000000,8/5/2011 -                    8/4/2013,No,Base Period,Set Aside,No,,Capital Services and Supplies
OFFICE OF CONTRACTING AND PROCUREMENT,CW16257,"DCSS-2008-D-962-21S-MOVING AND LOGISTICS-FAITH MANAGEMENT CONSULTING, INC",5000000,9/17/2011 -                    9/15/2012,No,Base Period,Set Aside,No,,Faith Management Consulting
OFFICE OF CONTRACTING AND PROCUREMENT,CW11871,DCPO-2012-A-0122 - Dun & Bradstreet System Access and Reporting Services,8085,10/27/2011 -                    9/29/2012,No,Base Period,Open,No,,DUN & BRADSTREET
OFFICE OF CONTRACTING AND PROCUREMENT,CW11869,DCPO-2012-Q-0123 - Dun & Bradstreet System Access and Reporting Services,1617,10/27/2011 -                    9/29/2012,No,Base Period,Open,No,,DUN & BRADSTREET
OFFICE OF CONTRACTING AND PROCUREMENT,CW16183,"DCSS-2009-D-962-24S-MOVING AND LOGISTICS-CONFIGURATION, INC",50000000,10/28/2011 -                    10/26/2012,No,Base Period,Set Aside,No,,CONFIGURATION INC
OFFICE OF CONTRACTING AND PROCUREMENT,CW16896,"DCSS-2009-D-475-18S - Bocalji Services, Inc.",500000,11/25/2011 -                    11/24/2012,No,Base Period,Set Aside,No,,"BOCALJE SERVICES, INC."
OFFICE OF CONTRACTING AND PROCUREMENT,CW16120,DCSS-2007-D-615-34S - Office Supplies,5000000,12/5/2011 -                    12/4/2012,No,Base Period,Set Aside,No,,LASER ART INC
OFFICE OF CONTRACTING AND PROCUREMENT,CW17380,DCSS-2012-D-037-16S,400000,12/29/2011 -                    12/28/2012,No,Base Period,Set Aside,No,,PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers
OFFICE OF CONTRACTING AND PROCUREMENT,CW17228,DCSS-2012-D-962-15S,500000,1/4/2012 -                    1/3/2013,No,Base Period,Set Aside,No,,PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers
OFFICE OF CONTRACTING AND PROCUREMENT,CW16200,DCSS-2009-D-966-19S - Printing and Document Management Services,750000,1/5/2012 -                    1/4/2013,No,Base Period,Set Aside,No,,DIGI DOCS INC DOCUMENT MGERS
OFFICE OF CONTRACTING AND PROCUREMENT,CW16180,"DCSS-2009-D-962-23S-MOVING AND LOGISTICS- CAPITAL SERVICES & SUPPLIES, INC",50000000,2/12/2012 -                    2/10/2013,No,Base Period,Set Aside,No,,BB&B; PROFESSIONAL MOVERS
OFFICE OF CONTRACTING AND PROCUREMENT,CW16150,"DCSS-2008-D-918-117S-MOBIS SERVICES-THOMPSON, COBB, BAZILIO & ASSOCIATES, PC",50000000,2/13/2012 -                    2/12/2013,No,Base Period,Set Aside,No,,Mobis Transportation Alternati
OFFICE OF CONTRACTING AND PROCUREMENT,CW16702,"DCSS-2009-D-961-50S - Marketing, Media & Public Information Services",900000,2/27/2012 -                    2/26/2013,No,Base Period,Set Aside,No,,REINGOLD INC
OFFICE OF CONTRACTING AND PROCUREMENT,CW16222,DCSS-2010-D-99029-35S - Security Eqpt-Services,850000,2/29/2012 -                    2/27/2013,No,Base Period,Set Aside,No,,EMERGENCY 911 SECURITY
Office of Contracting and Procurement,DCSS-2010-D-475-21S,Medical Equipment and Supplies,500000,3/4/2012 -                    3/3/2013,No,2,DCSS,No,Local                                     Small                                     Disadvantaged,Emergency 911 Security
Office of Contracting and Procurement,DCSS-2011-D-918-152S,Mission Oriented Bsiness Integrated Services (MOBIS),900000,3/4/2012 -                    3/3/2013,No,,DCSS,No,Local                                     Small                                     Resident,Leftwich & Ludaway
OFFICE OF CONTRACTING AND PROCUREMENT,CW16477,"DCSS-2009-D-961-38S - Marketing, Media & Public Information Services",900000,3/12/2012 -                    2/11/2013,No,Base Period,Set Aside,No,,"BRENTWORKS, INC."
OFFICE OF CONTRACTING AND PROCUREMENT,CW16009,DCSS-2009-D-615-52S - Office Supplies,5000000,3/14/2012 -                    3/13/2013,No,Base Period,Set Aside,No,,DIGI DOCS INC DOCUMENT MGERS
OFFICE OF CONTRACTING AND PROCUREMENT,CW16007,DCSS-2010-D-962-31S - Moving and Logistics,500000,3/14/2012 -                    3/13/2013,No,Base Period,Set Aside,No,,"SPECTRUM ASSOCIATES, INC."
Office of Contracting and Procurement,DCSS-2009-D-946-17S,Audit and Financial Management Services,500000,3/19/2012 -                    3/18/2013,No,3,DCSS,No,Local                                     Enterprise Zone,"Federal Management Systems, Inc."
OFFICE OF CONTRACTING AND PROCUREMENT,CW16015,"DCSS-2008-D-918-105S-MOBIS SERVICES-PRM CONSULTING, INC",105000000,3/24/2012 -                    3/22/2013,No,Base Period,Set Aside,No,,Mobis Transportation Alternati
Office of Contracting and Procurement,DCSS-2010-D-485-24S,Engineering & Logistics Services,900000,4/12/2012 -                    4/13/2013,No,Option 2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,General Merchandise Supplies Unlimited
Office of Contracting and Procurement,DCSS-2011-D-925-33S,Engineering & Logistics Services,900000,4/15/2012 -                    4/14/2013,No,Option 2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,General Construction Services
OFFICE OF CONTRACTING AND PROCUREMENT,CW16125,DCSS-2008-D-615-30S - Office Supplies,5000000,4/22/2012 -                    4/21/2013,No,Base Period,Set Aside,No,,"STAR OFFICE PRODUCTS, INC"
OFFICE OF CONTRACTING AND PROCUREMENT,CW15875,"DCSS-2011-D-918-141S-MOBIS SERVICES-IIU CONSULTING INSTITUE, INC",10000000,4/22/2012 -                    4/20/2013,No,Base Period,Set Aside,No,,Mobis Transportation Alternati
OFFICE OF CONTRACTING AND PROCUREMENT,CW15798,DCSS-2011-D-918-140S- MOBIS -ANALYTICA,1000000,4/24/2012 -                    4/22/2013,No,Base Period,Set Aside,No,,Mobis Transportation Alternati
OFFICE OF CONTRACTING AND PROCUREMENT,CW15141,Removal and Disposal of Electronic Equipment,200000,4/24/2012 -                    4/23/2013,No,Base Period,Open,No,,"Creative Recycling Services, Inc."
